r,rmse_0,rmse_global_mean,rmse_row_means,rmse_colmeans,rmse_means_weighted
1,3.097728154344988,1.0329018798943783,0.9287595389274425,0.9652728365055936,0.8925948719599978
2,3.0152880799562185,1.0329073978614332,0.9287627807418941,0.965247053747415,0.8926606459979055
3,2.9580244213347626,1.0329232403868058,0.9287905618915537,0.9652423450770474,0.8922359621733972
4,2.940789489714836,1.0328719943181557,0.9287298441511447,0.9652254383258393,0.8922427198031627
5,2.9295972968747637,1.0304218250852744,0.9286855004417979,0.9651462610795218,0.8888402139773371
6,2.899729148618456,1.0063470692677114,0.9240695776218689,0.9630956269630057,0.8883645109407937
7,2.9206231210719884,1.0042831050318113,0.9245389246514887,0.952675928269588,0.8883410606968197
8,2.9169560717962173,1.0037468868385973,0.908007821630642,0.9589812315716281,0.8859205137302542
9,2.9130840032931165,1.0016373927971347,0.9057915972488464,0.9569750905535507,0.8877270686204349
10,2.923309745814558,0.9996302216080954,0.9075282396303033,0.9546139769939082,0.8847472939377143
11,2.92954392108549,0.9984690604344716,0.9070143920491537,0.9521989468695602,0.8857152726375375
12,2.9409665688364317,0.9980018095072202,0.9056690962514455,0.9500840284837349,0.8840046332029464
13,2.962791376455189,0.9925457556385089,0.907065642087981,0.950849454694754,0.8821591877149295
14,2.9528422217097248,0.9928587922409562,0.9071946729159365,0.9479259165366343,0.8814829382584499
15,2.976115084965423,0.9912607526826954,0.9052521817535394,0.948799437500094,0.8797249385529987
16,2.955502467894591,0.9922347896870614,0.9056620702639615,0.9484414157016634,0.880078067502753
17,2.9491017604494245,0.9906979892523985,0.9064053326969684,0.9480914536047885,0.8801883700411968
18,2.9918049766981714,0.9910504477650265,0.905303335109916,0.9488762043227144,0.8775124550198404
19,2.995691752263374,0.990522535856847,0.9067731567573741,0.9485071193241392,0.8796486172506326
20,2.994566953155695,0.990132737691875,0.9065725723277396,0.9486605673708224,0.8802773479170094
21,2.991581932827583,0.9891011926785697,0.9062742440101091,0.9478105037230674,0.8787091198377012
22,2.9900696782053133,0.9892996639978223,0.905619845920535,0.9488159374280671,0.8787729629024381
23,3.0031476319756303,0.9884356128710504,0.9058101163229841,0.9486445388428308,0.8780415358044849
24,3.0003602818401505,0.9881761336779455,0.9065650995368003,0.9485576320512408,0.8799816921114619
25,3.0213023688115834,0.9871655292510773,0.9066245051973134,0.9483993494254496,0.8776485008298126
26,3.0214796619855773,0.9873826262179776,0.9064962538464784,0.947983072154592,0.8780689104485284
27,3.024600712606984,0.9884905790811168,0.9075836254900969,0.9470515508007955,0.8781830642520992
28,3.0351612518119113,0.98734209532263,0.9073643517733001,0.9487734476283379,0.8795639572047422
29,3.0373079285352365,0.9873328838407708,0.905863297803059,0.9501765725175738,0.8787761660022311
30,3.04095977065756,0.9869863071835406,0.9097676784380733,0.9466970222275212,0.8800106159178892
31,3.053627001209095,0.9884497190868076,0.9073284631395399,0.9484320903395781,0.879133406967767
32,3.0463066281519713,0.9902384783574774,0.9090713419843469,0.9497010260620525,0.8793108396993574
33,3.057071342444458,0.9891070898697579,0.9094612231275131,0.9475638570743928,0.8801555274013592
34,3.063306869454102,0.9872319047406327,0.9076078990092875,0.9486045106830114,0.8791561064325253
35,3.0537551935659173,0.9890793993874748,0.9098559148497276,0.9488285622452319,0.8810431164557682
36,3.0645100545488866,0.987539165430497,0.9093568121082529,0.9474177630059437,0.8787225783122756
37,3.069876417844578,0.9902010524603486,0.9081829140422253,0.9472092182842357,0.8766475992143646
38,3.076237537131792,0.9911660379140094,0.9103689198238686,0.9494723055010283,0.8802986666684728
39,3.0773353495521976,0.989011149165512,0.9097049783633209,0.946817975808348,0.8774034440426325
40,3.085964668498977,0.9880236918412164,0.9101710426274577,0.9484957594767485,0.8791063892435451
41,3.083778190948078,0.9910864938290999,0.9109031356616051,0.9476110553250593,0.8804677322325148
42,3.088895302899987,0.99249818830155,0.9106784414119138,0.9486883350887432,0.8781511980860898
43,3.086114511372225,0.9923950438365899,0.911533905210532,0.9488272716132142,0.8789502340444394
44,3.1016613578649346,0.9915019213898671,0.9104713945968297,0.9493373191231838,0.8784731153010423
45,3.1123334350444374,0.9936631083476463,0.9128413551889993,0.9465720461328442,0.8801691600692589
46,3.114750361425522,0.9914873594459821,0.9110151312916079,0.9483509505111808,0.8788744603999308
47,3.1068149071116635,0.9911936879556041,0.9122841814167936,0.9462256389554746,0.8788500501464811
48,3.107846867660719,0.9929276861503181,0.9113167064739225,0.948856885879168,0.8794449940479454
49,3.123947241209542,0.9916901624470814,0.9125904881386375,0.9475485542381525,0.87905101363203
50,3.1165325172076646,0.9917329900119224,0.9113174211870483,0.948591877360008,0.8787276125630186
51,3.1192516579898517,0.9934910037249602,0.9127166406072206,0.9496508770549514,0.8782797595810237
52,3.141718876859454,0.9938669973209804,0.9116669144730296,0.9476015085454855,0.8801701412813886
53,3.1353944996917407,0.9944956067286119,0.9107015462424812,0.9500054319795322,0.8805269836635948
54,3.1403619926145176,0.9945180610057436,0.9127134506604353,0.9478642648442114,0.8784193862848
55,3.1443551028759975,0.9924979369844599,0.9136742516876031,0.9497416778302471,0.8796351522871622
56,3.152361875396066,0.9964093562051223,0.9156286419834953,0.9488493967485415,0.8807317967315526
57,3.1554935104625077,0.9943724194677381,0.9120683447205905,0.9491779385566974,0.8793459121757387
58,3.168052796132592,0.9974476128972327,0.9130958588977112,0.949115723892787,0.8818545995563852
59,3.15597040748734,0.9970820944352748,0.9140467231883229,0.9488757368994317,0.8796358519570658
60,3.162259936628198,0.9961540986629359,0.914053017376503,0.949969066623638,0.8803073071550417
61,3.1691937928317437,0.9988914141733026,0.9143575349817242,0.9486861285921473,0.8794496533331261
62,3.177251572484823,0.9969550330734367,0.9141875014931965,0.9512161267188978,0.8795854309080393
63,3.1793314306054667,0.9960092115906741,0.9152657070223372,0.9500576273198169,0.8794426134883825
64,3.190238211131442,0.9978220775823291,0.9162521552084881,0.9517526458206548,0.8826094789040286
65,3.1875948781340395,0.9970894126842819,0.9155469143358775,0.9493882483966243,0.8811061439386542
66,3.182095516815475,0.9985737722096729,0.9144524667218519,0.9500410372443673,0.879618285596833
67,3.1940807214821825,1.000438863460018,0.9130947642060031,0.950765515907735,0.8795514680074606
68,3.190094308589978,0.9993319294380046,0.9164741756986621,0.9490164416493382,0.8821745327459378
69,3.1878729895689935,0.998420107672967,0.9156638099286091,0.9515296872353634,0.8809356476523152
70,3.2022962368443584,0.9984347369250242,0.9153972038525074,0.9513241844542792,0.8805049294091881
71,3.205564342587128,1.0002404613709517,0.9150257170523745,0.9510358982207412,0.8804560409207016
72,3.20672857738366,1.00107094702871,0.9165644972504177,0.9518953058720446,0.8806912229001528
73,3.2143493299344135,1.000871852950964,0.9162809615505603,0.9492614260531389,0.8824668032692764
74,3.217094653624889,1.002245914851888,0.9158221186002575,0.9497513141982821,0.8798268496611327
75,3.216470012912977,1.0037866694839785,0.9169901487363143,0.9505488933049051,0.880010500136343
76,3.22048480464754,1.002158450912018,0.9171398514506729,0.9509800420817608,0.8818577083316164
77,3.232156300149378,1.0031073685787797,0.917766283738916,0.9513729487202877,0.8814322454070079
78,3.232775483582004,1.002691890185613,0.9169286085933197,0.9518058075636104,0.8816572493827902
79,3.240773136295049,1.0047757107416422,0.9187643202283764,0.9509933309365294,0.8803312965799046
80,3.239648001138867,1.0040939364726742,0.9179253735350844,0.9523827092353354,0.8809180788766175
81,3.242995289497607,1.0050842482287736,0.9188905796814467,0.9506407844925014,0.8815358010928417
82,3.2459214359262902,1.0054678405767363,0.9175866605679881,0.9514192041238136,0.8820471246601241
83,3.2613930700223013,1.005263659530121,0.917627862633314,0.9531498731161538,0.8823602013120976
84,3.2537277776340745,1.0048932957713776,0.9181126305097149,0.9516055123730679,0.8810481823458814
85,3.255238154700218,1.0054084733092907,0.9196015396766604,0.9508954721790066,0.8826457660081847
86,3.2575648740975414,1.0062042912543157,0.9176068913276328,0.9528138884695396,0.8833181906781693
87,3.2657025780796265,1.0050616016209246,0.9185039710589847,0.9521146118414797,0.8816667571685972
88,3.2689251875446454,1.007686775737864,0.9191426418995925,0.9535773466882713,0.8825465376122611
89,3.2676958339013558,1.0065916668866721,0.9192429098845105,0.9530210380364255,0.8818752417061341
90,3.2745743969810683,1.0095117082292797,0.9187340354001391,0.9545493781221976,0.881154001518289
91,3.283666069943989,1.007835928707101,0.9201201706523495,0.9533126277177421,0.8825094858859588
92,3.2824643930282416,1.0091201692210578,0.9191149215422735,0.9534368891908552,0.8833590840571847
93,3.282751790151442,1.0100681528003637,0.9195134265119747,0.952766059356998,0.8819757844858567
94,3.28245382071961,1.0089088743560608,0.9202894108878957,0.953298107331645,0.8834516755248157
95,3.2862915925713216,1.0104440244425734,0.9198146668229423,0.9537758093607149,0.8831291003448589
96,3.289112119529289,1.0100465220571102,0.921511061961341,0.9541555196510751,0.8826434852976603
97,3.2886728310971605,1.010427817646571,0.9209495033383367,0.9541129239007534,0.8822987149888768
98,3.2932613566238063,1.0114003188668075,0.9196713339378819,0.9551534712254846,0.8853173857744286
99,3.2936896005054046,1.0115383451099362,0.9204188726155607,0.954480775166569,0.8832360763532547
100,3.300468314424419,1.0126350908031625,0.9217208820206126,0.9543232920048269,0.8835915863165994
